id_coddep_codecommune,code_departement,code_commune,code_postal,nom_commune,population
01103,01,103,1170,CHEVRY,2196
06004,06,4,6160,ANTIBES,74523
06088,06,88,6000,NICE,345528
06123,06,123,6700,SAINT LAURENT DU VAR,29352
13005,13,5,13400,AUBAGNE,47986
13028,13,28,13600,LA CIOTAT,36374
13208,13,208,13008,MARSEILLE 8EME,82690
13212,13,212,13012,MARSEILLE 12EME,61958
14338,14,338,14510,HOULGATE,1748
14366,14,366,14100,LISIEUX,20692
17300,17,300,17000,LA ROCHELLE,79333
25056,25,56,25000,BESANCON,121144
29232,29,232,29000,QUIMPER,65761
29260,29,260,29290,SAINT RENAN,8358
31555,31,555,31500,TOULOUSE,498596
33063,33,63,33800,BORDEAUX,264257
33097,33,97,33121,CARCANS,2454
33449,33,449,33160,SAINT MEDARD EN JALLES,32328
34145,34,145,34400,LUNEL,26627
34150,34,150,34340,MARSEILLAN,7838
34199,34,199,34120,PEZENAS,8273
37156,37,156,37270,MONTLOUIS-SUR-LOIRE,11017
37261,37,261,37000,TOURS,139843
38185,38,185,38000,GRENOBLE,160441
40266,40,266,40170,ST-JULIEN-EN-BORN,1717
40328,40,328,40480,VIEUX BOUCAU-LES-BAINS,1636
44143,44,143,44400,REZE,43710
44184,44,184,44600,SAINT-NAZAIRE,73139
51230,51,230,51200,EPERNAY,22901
54395,54,395,54000,NANCY,106504
56161,56,161,56400,PLOEMEL,3077
58194,58,194,58000,NEVERS,34069
59512,59,512,59100,ROUBAIX,99294
60057,60,57,60000,BEAUVAIS,58520
60155,60,155,60660,CIRES LES MELLO,4046
60159,60,159,60200,COMPIEGNE,41643
60524,60,524,60290,RANTIGNY,2564
69149,69,149,69600,OULLINS,26831
69384,69,384,69004,LYON 4EME,36470
74119,74,119,74500,EVIAN-LES-BAINS,9359
74236,74,236,74170,SAINT GERVAIS LES BAINS,5734
74238,74,238,74430,SAINT-JEAN-D'AULPS,1584
74278,74,278,74300,THYEZ,6480
75105,75,105,75005,PARIS 05,58897
75110,75,110,75010,PARIS 10,86863
75111,75,111,75011,PARIS 11,146028
75112,75,112,75012,PARIS 12,140237
75115,75,115,75015,PARIS 15,232668
75118,75,118,75018,PARIS 18,193288
76217,76,217,76200,DIEPPE,28709
76451,76,451,76130,MONT-SAINT-AIGNAN,19732
76655,76,655,76460,SAINT-VALERY-EN-CAUX,4091
77118,77,118,77410,CLAYE-SOUILLY,12305
78350,78,350,78430,LOUVECIENNES,7401
78423,78,423,78180,MONTIGNY LE BRETONNEUX,32741
78545,78,545,78210,SAINT-CYR-L ECOLE,20432
78551,78,551,78100,SAINT-GERMAIN-EN-LAYE,46649
78586,78,586,78500,SARTROUVILLE,53223
78640,78,640,78140,VELIZY VILLACOUBLAY,23276
83062,83,62,83130,LA GARDE,25818
83069,83,69,83400,HYERES,55798
83112,83,112,83270,SAINT-CYR-SUR-MER,11725
83123,83,123,83110,SANARY SUR MER,17160
84007,84,7,84000,AVIGNON,92821
85047,85,47,85300,CHALLANS,22095
86062,86,62,86360,CHASSENEUIL-DU-POITOU,4743
86194,86,194,86000,POITIERS,91487
87075,87,75,87170,ISLE,7998
87085,87,85,87100,LIMOGES,133136
91249,91,249,91470,FORGES-LES-BAINS,3998
91689,91,689,91320,WISSOUS,7202
92025,92,25,92700,COLOMBES,87120
92026,92,26,92400,COURBEVOIE,82213
92036,92,36,92230,GENNEVILLIERS,48746
92044,92,44,92300,LEVALLOIS-PERRET,66653
93032,93,32,93220,GAGNY,39860
93051,93,51,93160,NOISY-LE-GRAND,68256
93057,93,57,93320,LES PAVILLONS-SOUS-BOIS,23995
93071,93,71,93270,SEVRAN,51907
94044,94,44,94450,LIMEIL-BREVANNES,27945
94060,94,60,94510,LA QUEUE-EN-BRIE,12184
94080,94,80,94300,VINCENNES,50230
95252,95,252,95130,FRANCONVILLE LA GARENNE,37564
95388,95,388,95180,MENUCOURT,5955
95607,95,607,95150,TAVERNY,27062
01262,01,262,1120,MONTLUEL,6969
02408,02,408,2000,LAON,24970
03190,03,190,3000,MOULINS,19788
04073,04,73,4400,ENCHASTRAYES,400
04166,04,166,4500,RIEZ,1765
04209,04,209,4200,SISTERON,7834
06027,06,27,6800,CAGNES SUR MER,52669
06159,06,159,6230,VILLEFRANCHE-SUR-MER,5068
10323,10,323,10100,ROMILLY SUR SEINE,14798
13119,13,119,13470,CARNOUX-EN-PROVENCE,6582
13201,13,201,13001,MARSEILLE 1ER,40093
13204,13,204,13004,MARSEILLE 4EME,49599
13206,13,206,13006,MARSEILLE 6EME,42541
13209,13,209,13009,MARSEILLE 9EME,77287
14118,14,118,14000,CAEN,108404
14333,14,333,14600,HONFLEUR,6933
14715,14,715,14360,TROUVILLE-SUR-MER,4692
14754,14,754,14640,VILLERS-SUR-MER,2601
17414,17,414,17138,SAINT-XANDRE,5254
